store_code_name,store_code,store_town,state
LKST2654-Mumbai_Vikhroli Kannamwar Nagar,LKST2654,Mumbai,Maharashtra
LKST2657-Ghaziabad_Shastri nagar,LKST2657,Ghaziabad,Uttar Pradesh
LKST2658-Coimbatore_Attur_Next to Indian Princess,LKST2658,Attur,Tamil Nadu
LKST2659-Bangalore_RMV nd Stage,LKST2659,Bengaluru,Karnataka
LKST265-Uttam Nagar Lenskart Store,LKST265,New Delhi,Delhi
LKST2660-Bhubneshwar_Sum hospital,LKST2660,Bhubaneswar,odisha
LKST2661-Mumbai_Churchgate Moti Mahal,LKST2661,Mumbai,Maharashtra
LKST2662-Bhubneshwar_KIIT road,LKST2662,Bhubaneswar,odisha
LKST2664-Gorakhpur_basti gandhi nagar,LKST2664,Gorakhpur,Uttar Pradesh
LKST2666-Bhubneshwar_Jaydev vihar,LKST2666,Bhubaneswar,odisha
LKST2667-Kaithal_Kurukshetra road,LKST2667,Kaitgal,Haryana
LKST2668-Bangalore_Munnekollal,LKST2668,Bengaluru,Karnataka
LKST2669-Varanasi_MA road,LKST2669,Varanasi,Uttar Pradesh
LKST266-Lenskart Indiranagar Store,LKST266,Bengaluru,Karnataka
LKST2670-Kanpur_shyam nagar,LKST2670,Kanpur,Uttar Pradesh
LKST2673-Mumbai_Mulund East,LKST2673,Mumbai,Maharashtra
LKST2674-Kolkata_Liluah,LKST2674,Howrah,West Bengal
LKST2675-Chennai_Naganallur MGR Road,LKST2675,Chennai,Tamil Nadu
LKST267-Chrompet Chennai Store,LKST267,Chennai,Tamil Nadu
LKST2681-Ahmedabad_New Gota,LKST2681,Ahmedabad,Gujarat
LKST2683-Bangalore DLF Akshaynagar 27,LKST2683,Bengaluru,Karnataka
LKST268-Gachibowli Hyderabad Store,LKST268,Hyderabad,Telangana
LKST2690-Phagwara_Banga rd,LKST2690,PHAGWARA,Punjab
LKST2691-Delhi_D Block Kirti Nagar,LKST2691,New Delhi,Delhi
LKST2701-Malda_PRM Centre Point Mall,LKST2701,Kolkata,West Bengal
LKST2703-Kolhapur_DYP mall,LKST2703,Kolhapur,Maharashtra
LKST2705-Purulia_N lake,LKST2705,Purulia,West Bengal
LKST2706-Hosur_Krishnagiri_PE,LKST2706,Hosur,Tamil Nadu
LKST2707-Bhopal_New Market 1,LKST2707,Bhopal,Madhya Pradesh
LKST2714-Mumbai_Thane_Dombivli West,LKST2714,Mumbai,Maharashtra
LKST2715-Mumbai_Thane_Palava City,LKST2715,Thane,Maharashtra
LKST271-Inorbit Mall Hyderabad Store,LKST271,Hyderabad,Telangana
LKST2727-Mumbai_Thane west jupiter hospital,LKST2727,Thane,Maharashtra
LKST2728-Navi Mumbai_Airoli,LKST2728,Mumbai,Maharashtra
LKST2729-Delhi_karawal nagar,LKST2729,New Delhi,Delhi
LKST272-Marol Mumbai Store,LKST272,Mumbai,Maharashtra
LKST2737-Coimbatore_Sathy Road_Near Prozone Mall,LKST2737,Coimbatore,Tamil Nadu
LKST2738-Faridabad_Sec 88,LKST2738,Faridabad,Haryana
LKST2739-Mysore_Kalidasa Rd,LKST2739,Mysore,Karnataka
LKST273-Inorbit Mall Vadodara Store,LKST273,Vadodara,Gujarat
LKST2741-Mysore kuvempunagar,LKST2741,Mysore,Karnataka
LKST274-Goregoan Store,LKST274,Mumbai,Maharashtra
LKST2750-Pune_Keshav Nagar,LKST2750,Pune,Maharashtra
LKST2752-Ahmedabad_NewChandkheda_TheLandmark,LKST2752,Ahmedabad,Gujarat
LKST2753-Madurai_Oddanchatiram_Texs,LKST2753,Oddanchatram,Tamil Nadu
LKST2755-Bhopal_Anand Nagar,LKST2755,Bhopal,Madhya Pradesh
LKST2756-Mehasana_Pilajigunj,LKST2756,Mehsana,Gujarat
LKST2758-NIBM Road,LKST2758,Pune,Maharashtra
LKST2764-Kolhapur_Satara,LKST2764,Satara,Maharashtra
LKST2765-Cuddalore_Manjakuppam_Nethaji Road,LKST2765,Cuddalore,Tamil Nadu
LKST2766-Coimbatore_Prozone Mall,LKST2766,Coimbatore,Tamil Nadu
LKST2767-Badaun_Civil lines,LKST2767,Badaun,Uttar Pradesh
LKST2768-Ballia_Okideaganj,LKST2768,Ballia,Uttar Pradesh
LKST2771-Hisar_PLA market,LKST2771,Hisar,Haryana
LKST2772-Roorkee_ganeshpur,LKST2772,Roorkee,Uttarakhand
LKST2773-Ahmedabad_Ghodasar,LKST2773,Ahmedabad,Gujarat
LKST2775-Mumbai_Mira Bhayander link rd,LKST2775,Thane,Maharashtra
LKST2778-Bhubaneswar_Khorda Opposite Apollo Pharmacy,LKST2778,khurdha,odisha
LKST2781-Aizwal_zarkawt,LKST2781,Aizawl,Mizoram
LKST2783-Chikhali Akurdi Rd,LKST2783,Pune,Maharashtra
LKST2791-Vadodara_Harni,LKST2791,Vadodara,Gujarat
LKST2795-Ayodhaya_Niyawan rd,LKST2795,Ayodhya,Uttar Pradesh
LKST279-Jubilee Hills Hyderabad Store,LKST279,Hyderabad,Telangana
LKST2802-Bardhaman_G.T Road,LKST2802,Bardhaman,West Bengal
LKST2804-Itanagar_ganga market,LKST2804,Guwahati,Assam
LKST2805-Kolkata_Ranaghat,LKST2805,Kolkata,West Bengal
LKST2806-Patna_PC colony,LKST2806,Patna,Bihar
LKST2808-Lucknow_Indiranagar,LKST2808,Lucknow,Uttar Pradesh
LKST2811-Coimbatore_Erode_Perundurai Road,LKST2811,Erode,Tamil Nadu
LKST2812-Hyderabad_Ayyappa Soc,LKST2812,Hyderabad,Telangana
LKST2813-Hyderabad_Medchal 87,LKST2813,Hyderabad,Telangana
LKST2814-Mysore_Urs Road,LKST2814,Mysore,Karnataka
LKST2815-Ahmedabad_Vaishnavdevi,LKST2815,Ahmedabad,Gujarat
LKST2817-Nagpur_Ramna Murti,LKST2817,Nagpur,Maharashtra
LKST2818-Pune_Lohegaon,LKST2818,Pune,Maharashtra
LKST2819-Uruli Kanchan,LKST2819,Pune,Maharashtra
LKST281-Habitat Center Ghaziabad Store,LKST281,Ghaziabad,Uttar Pradesh
LKST2821-Gurgaon_Satya The hive,LKST2821,Gurugram,Haryana
LKST2823-Bhatinda_Mall Road,LKST2823,Bathinda,Punjab
LKST2824-Lalganesh_Tiniali,LKST2824,Guwahati,Assam
LKST2825-Chandannagar_GT rd,LKST2825,Kolkata,West Bengal
LKST2826-Bhuneshwar_nandan kanan rd,LKST2826,Bhubaneswar,odisha
LKST2827-Hapur_Delhi road near S.S.V college,LKST2827,hapur,Uttar Pradesh
LKST2828-Varanasi_pandeypur,LKST2828,Varanasi,Uttar Pradesh
LKST2829-Dehradun_Saharanpur rd,LKST2829,Dehradun,Uttarakhand
LKST282-Mall Of India Noida Store,LKST282,Noida,Uttar Pradesh
LKST2831-Vadodara_Tarshali,LKST2831,Vadodara,Gujarat
LKST2832-JABALPUR_MEDICAL_COLLEGE_ROAD,LKST2832,Jabalpur,Madhya Pradesh
LKST2833-MH_Pune_Kaspate Vasti_Wakad,LKST2833,Pune,Maharashtra
LKST2835-Ranchi_H.B Road,LKST2835,Ranchi,Jharkhand
LKST283-Banaswadi Bangalore Store,LKST283,Bengaluru,Karnataka
LKST2841-Rourkela_Birsa rd,LKST2841,Rourkela,odisha
LKST2845-Mughalsarai_GT road,LKST2845,Mughalsarai,Uttar Pradesh
LKST2847-Tiruchengode_Sankagiri,LKST2847,Tiruchengode,Tamil Nadu
LKST2848-Jhansi_Sadar Bazaar,LKST2848,Jhansi,Uttar Pradesh
LKST284-Xperia Mall Dombivali store,LKST284,Mumbai,Maharashtra
LKST2853-Visakhapatnam_Visakhapatnam_Murali nagar 19,LKST2853,Visakhapatnam,Andhra Pradesh
LKST2854-Visakhapatnam_Visakhapatnam_Yendada 13,LKST2854,Visakhapatnam,Andhra Pradesh
LKST2855-Ahmedabad_Navanaroda_Goldenheight2,LKST2855,Ahmedabad,Gujarat
LKST2856-Durg_Station Road,LKST2856,Durg,Chhattisgarh
LKST2857-Nashik _Adgaon,LKST2857,Nashik,Maharashtra
LKST2858-Thergaon_Silver Crystal,LKST2858,Pune,Maharashtra
LKST2859-Surat_Limbayat,LKST2859,Surat,Gujarat
LKST285-Mukherjee Nagar Delhi Store,LKST285,New Delhi,Delhi
LKST2865-Lucknow_Crown mall,LKST2865,Lucknow,Uttar Pradesh
LKST2869-Samastipur_Gola rd,LKST2869,Patna,Bihar
LKST286-Royal Meenakshi Mall Store,LKST286,Bengaluru,Karnataka
LKST2870-Lucknow_Kathuta,LKST2870,Lucknow,Uttar Pradesh
LKST2871-Srinagar_Khanayar,LKST2871,Srinagar,Jammu & Kashmir
LKST2872-Srinagar_ Rajbagh,LKST2872,Srinagar,Jammu & Kashmir
LKST2873-Hubli_Deshpande Nagar,LKST2873,Hubli,Karnataka
LKST2874-Ambur_Bypass Road,LKST2874,Ambur,Tamil Nadu
LKST2875-Kolkata_kabrdanga,LKST2875,Kolkata,West Bengal
LKST2876-Arcot_Vellore Road,LKST2876,Arcot,Tamil Nadu
LKST2878-Ghaziabad_Sanjay Nagar,LKST2878,Ghaziabad,Uttar Pradesh
LKST2879-Opp.Bajaj Finserv_Barnala Rd_Sirsa,LKST2879,Sirsa,Haryana
LKST2881-Bangalore_Amruthahalli,LKST2881,Bengaluru,Karnataka
LKST2883-Bangalore_Yelahanka old town,LKST2883,Bengaluru,Karnataka
LKST2884-Rajkot_Kalawadroad,LKST2884,Rajkot,Gujarat
LKST2885-Ujjain_Subhash Nagar,LKST2885,Ujjain,Madhya Pradesh
LKST2886-Asansol_GT road,LKST2886,Asansol,West Bengal
